gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
它与赵州桥,它与赵州桥,bridge,review,medium,1,0,1956,1956,1956,1956,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,造的见证。桥上有石狮、石塔、碑亭。宝带桥桥孔之多、桥身之长、结构之精巧，在中外建桥史上是罕见的，它与赵州桥、卢沟桥等合称为中国的十大名桥，1956年被公布为江苏省文物保护单位。宝带桥始建于唐元和十一年（,宝带桥桥孔之多、桥身之长、结构之精巧，在中外建桥史上是罕见的，它与赵州桥、卢沟桥等合称为中国的十大名桥，1956年被公布为江苏省文物保护单位。,
赵州桥,赵州桥,bridge,review,medium,7,0,1956,1956,1962,1956;1962,2,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,区；北靠苏南运河市河段，总面积为3.2平方千米，共有大小内河39条，总长16555米。与卢沟桥、赵州桥、灞桥并称中国四大名桥的53拱宝带桥以及宝带桥·澹台湖核心展示园均在境域，地域条件优越，自然环境,1962年，中国人民邮政出了编号50的一套4种特种邮票：宝带桥列入其中，其他三座桥分别是：安济桥（又名赵州桥）、珠浦桥、程阳桥。 || 宝带桥桥孔之多、桥身之长、结构之精巧，在中外建桥史上是罕见的，它与赵州桥、卢沟桥等合称为中国的十大名桥，1956年被公布为江苏省文物保护单位。,
长桥小学,长桥小学,education,review,medium,1,1,1956,1956,1956,1956,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,政府派干部组织群众文艺骨干成立文艺宣传队，先后成立了“三社”文艺宣传队、新华文艺宣传队，并由时任长桥小学教师的孙惠良担任教员，排练《戒赌记》《秋香送茶》《双推磨》《两兄弟》等小剧，演唱《中国人民志愿军,1956年12月，境域建立高级农业生产合作社，乡政府派干部组织群众文艺骨干成立文艺宣传队，先后成立了“三社”文艺宣传队、新华文艺宣传队，并由时任长桥小学教师的孙惠良担任教员，排练《戒赌记》《秋香送茶》《双推磨》《两兄弟》等小剧，演唱《中国人民志愿军战歌》等歌曲，还自编自演《越唱越开心》《忆苦思甜》等说唱。,
原宝南村,原宝南村,historic_settlement,manual,medium,2,0,1956,1956,2020,1956;2020,2,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,先锋社区”称号。12月，宝带桥社区投资180万元建起5000平方米东湖社区职工集体宿舍楼。是年，原宝南村居民家家通上有线电视。2007年1月，苏州市关心下一代工作委员会授予宝带桥社区“四有五无”先进称,附：口述宝带桥社区居民房东经济采扎勾拉：沈会男，1956年出生，中共党员，原宝南村党支部书记采扎人：张瑞照采扎时间：2020年8月31日采扎兴点：宝带桥社区党群服务中心103室张：请你谈谈你和你的家庭基本情况。,
宝南村,宝南村,historic_admin,manual,medium,44,1,1956,1956,2020,1956;1983;1984;1986;1987;1989;1990;1992;1993;1994;1995;1996;1997;1999;2000;2001;2002;2003,19,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。10月4日至23日，连续降雨250毫米左右，境内低洼农田受淹。大事记,1990年3月22日，宝尹村江文元，宝南村陆美香、金福珠当选长桥镇第十届人民代表大会代表。 || 1983年7月，恢复乡村建制，境域宝尹、宝南大队改称宝尹、宝南村，1992年8月，境域划归吴县经济技术开发区。 || 1995年3月，宝尹村所辖的10个村民组耕地被征用，翌年3月，宝南村所辖的21个村民组耕地被征用。,
郭巷乡,郭巷乡,historic_admin,manual,medium,1,1,1956,1956,1958,1956;1957;1958,3,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月，长桥乡并入郭巷乡，境域隶属郭巷乡。1965年12月，境域划归长桥人民公社。1992年8月，境域划归吴县经济技术开,1957年3月，吴县撤区并乡，长桥乡并入郭巷乡，境域归属郭巷乡。 || 1957年3月，吴县撤区并乡，长桥乡并入郭巷乡，境域归属郭巷乡。 || 1957年3月，吴县撤区并乡，长桥乡并入郭巷乡，境域隶属吴县郭巷乡。,
金星25高级农业生产合作社开展农村,金星25高级农业生产合作社开展农村,historic_settlement,manual,medium,1,0,1956,1956,1956,1956,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,00。4月15日至25日，根据上级指示，太湖流域保护渔业资源，实行禁捕。1956年4月，长桥乡在金星25高级农业生产合作社开展农村用电试点，年内，境域全境通电。5月，吴县人民政府拨款对宝带桥进行整治维修，同年7月竣工。10月8,1956年4月，长桥乡在金星25高级农业生产合作社开展农村用电试点，年内，境域全境通电。,
中学,中学,education,review,medium,1,0,1958,1958,2017,1958;1968;1976;1978;1979;2000;2001;2002;2003;2008;2009;2010;2014;2015;2017,15,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，全日制学校有建筑面积35137平方米的碧波实验小学及附属幼儿园，建筑面积15830平方米的碧波中学。少年儿童入学率达100%。卫生事业方面，1962年3月全面实行合作医疗，2007年1月，推行大,教育方面，原来只有几所在村民家客厅、破庙讲课的私立学校、耕读小学，至2017年，全日制学校有建筑面积35137平方米的碧波实验小学及附属幼儿园，建筑面积15830平方米的碧波中学。 || 2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积15830平方米的碧波中学建成开学。 || 1968年，吴县根据省革委“城镇中学毕业生主要面向农村”的指示和苏州地区下达任务，2500多名初、高中毕业生均属上山下乡之列。,
金星小学,金星小学,education,review,medium,3,1,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境内第一辆品牌为凤凰的自行车。,1958年，搬进姚家场建造的小学，改称金星小学。,
人民公社,人民公社,historic_admin,manual,medium,9,0,1958,1958,2017,1958;1961;1962;1965;1968;1970;1980;1983;2000;2017,10,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,长桥，境域隶属长桥乡。翌年3月，长桥乡并入郭巷乡，境域隶属郭巷乡。1965年12月，境域划归长桥人民公社。1992年8月，境域划归吴县经济技术开发区。1996年7月，吴县撤县建市，境域隶属吴县市；20,1965年12月，境域划归长桥人民公社。 || 1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。 || 1965年12月，境域划归蠡墅人民公社，蠡墅人民公社随即更名为长桥人民公社。,
公社,公社,historic_admin,manual,medium,5,0,1958,1958,1983,1958;1959;1961;1962;1965;1969;1970;1975;1979;1983,10,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，境域隶属长桥乡。翌年3月，长桥乡并入郭巷乡，境域隶属郭巷乡。1965年12月，境域划归长桥人民公社。1992年8月，境域划归吴县经济技术开发区。1996年7月，吴县撤县建市，境域隶属吴县市；20,1965年12月，境域划归长桥人民公社。 || 1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。 || 1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。,
农村建立人民公社,农村建立人民公社,historic_admin,manual,medium,1,0,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，金星第25高级农业生产合作社下辖5个生产小组。三、人民公社1958年8月，中共中央颁布《关于在农村建立人民公社问题的决议》。10月25日，郭巷人民公社成立，政社合一。境内金星第24、第25两个高级农业合作社,三、人民公社1958年8月，中共中央颁布《关于在农村建立人民公社问题的决议》。,
大队,大队,historic_admin,manual,medium,7,0,1958,1958,1992,1958;1961;1962;1967;1969;1970;1972;1973;1975;1979;1980;1982;1983;1992,14,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,田，农业发展迅速。1962年，江苏农科院副院长、全国著名劳动模范陈永康率领10多名科技人员至长桥大队政点，做水稻高产示范试验，其间多次至境域指导推广水稻高产栽培技术，以2后又全面推广双季稻的,1962年，江苏农科院副院长、全国著名劳动模范陈永康率领10多名科技人员至长桥大队政点，做水稻高产示范试验，其间多次至境域指导推广水稻高产栽培技术，以2后又全面推广双季稻的种植，使境域成为江南闻名的水稻、三麦高产稳产地区之一。 || 1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。 || 1967年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。,
实行人民公社,实行人民公社,historic_admin,manual,medium,1,0,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，因而，会识文断字的村民备受村民尊重。二、幼儿教育幼儿教育，又称学前教育。1958年10月，境内实行人民公社化，始有幼儿（学前）教育。1958年冬，境内金星、新华2个生产大队为保证家有幼儿的父母安心生产劳,1958年10月，境内实行人民公社化，始有幼儿（学前）教育。,
开展人民公社,开展人民公社,historic_admin,manual,medium,1,0,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,。1956年秋，境域开展农业合作化运动，成立金星第24、第25两个高级社。1958年10月，境域开展人民公社化运动，金星第24、第25社改称新华、金星大队。1980年11月，金星、新华大队更名宝尹、宝南大,1958年10月，境域开展人民公社化运动，金星第24、第25社改称新华、金星大队。,
新华2个生产大队,新华2个生产大队,historic_admin,manual,medium,3,0,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,骤减。20世纪70年代初期，政府号召“以粮为纲、全面发展”，养禽工作得到了恢复和发展。时，金星、新华2个生产大队都分别成立了养禽副业队。金星（宝尹）大队成立了养鸭放养队，派2人专业放养鸭100多只；新华（宝南,1958年冬，境内金星、新华2个生产大队为保证家有幼儿的父母安心生产劳动，要求各生产小队为单位，组织开办托儿所和幼儿班。,
新华两个大队,新华两个大队,historic_admin,manual,medium,2,0,1958,1958,1964,1958;1964,2,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,输业。其中种植业和养殖业历史悠久。1958年10月，郭巷成立人民公社，公社内设副业科，境内金星、新华两个大队随即成立了副业队。至此，大队牵头，带动各生产队和农户，一齐跟上，既发展生产，又找到提高集体和村民,1958年10月，郭巷成立人民公社，公社内设副业科，境内金星、新华两个大队随即成立了副业队。 || 1964年2月，公社成立血吸虫病防治领导小组，境内金星、新华两个大队全面开始查灭钉螺，查治病人。,
新华大队,新华大队,historic_admin,manual,medium,103,1,1958,1958,1980,1958;1959;1960;1962;1967;1969;1970;1972;1973;1974;1975;1979;1980,13,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干,1967年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。 || 1970年2月中旬，金星、新华大队遵照长桥人民公社要求，开展“一打三反”（打击现行反革命分子、反对贪污盗窃、反对投机倒把、反对铺张浪费）运动，进行大检举、大批判、大清理，凡涉嫌有经济问题者皆为运动对象，进学习班学习。 || 1972年1月，新华大队开掘全长2000米的金家村河。,
生产大队,生产大队,historic_admin,manual,medium,5,0,1958,1958,1983,1958;1959;1981;1983,4,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,境内连降暴雨，雨量达144毫米。8月，境内实行村级体制改革，设立2个行政村、31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。,1959年4月，境内根据中共中央《关于公社管理体制的若干规定草案》，取消公社军事建制，营、连分别改称生产大队和生产小队。 || 1981年至1983年，境内的两个生产大队的副业队都为开拓创收，开展了此项任务。 || 二、生产大队、行政村党组织1958年10月，郭巷乡成立人民公社，金星第24高级农业生产合作社改称新华大队，金星第25高级农业生产合作社改称金星大队。,
郭巷人民公社,郭巷人民公社,historic_admin,manual,medium,20,1,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,是月，郭巷乡大办民兵，实行全民皆兵，提出行动军事化，生活集体化，境内青壮年集体住宿训练。10月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星2,1958年10月，成立郭巷人民公社，实行政社合一体制，境域隶属郭巷人民公社。 || 1958年10月，成立郭巷人民公社，实行政社合一体制，境域隶属郭巷人民公社。 || 1958年10月，建郭巷人民公社金星大队，隶属金星大队，为第4生产队。,
郭巷成立人民公社,郭巷成立人民公社,historic_admin,manual,medium,1,0,1958,1958,1958,1958,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,体可分为四大类，即种植业、养殖业、劳务业和运输业。其中种植业和养殖业历史悠久。1958年10月，郭巷成立人民公社，公社内设副业科，境内金星、新华两个大队随即成立了副业队。至此，大队牵头，带动各生产队和农户，一,1958年10月，郭巷成立人民公社，公社内设副业科，境内金星、新华两个大队随即成立了副业队。,
金星大队,金星大队,historic_admin,manual,medium,106,1,1958,1958,1980,1958;1959;1960;1961;1962;1965;1966;1967;1969;1970;1971;1972;1975;1976;1977;1978;1979;1980,18,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境,1958年10月，境域开展人民公社化运动，金星第24、第25社改称新华、金星大队。 || 1958年10月，建金星大队，王家浜南岸为第1生产队，北岸为第8生产队。 || 1969年，境域成立金星大队革命委员会，王家浜第1、第8生产队改称第1、第8革命生产领导小组。,
副大队,副大队,historic_admin,manual,medium,3,0,1959,1959,1960,1959;1960,2,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,民公社，金星第24高级社更名新华大队，第25高级社更名金星大队。1959年1月，徐金男任新华大队副大队长。4月，彭庆明代理金星大队大队长。6月，马银泉任新华大队大队长，吴水泉任金星大队大队长，张全根,1959年1月，徐金男任新华大队副大队长。 || 1960年1月，缪火根、李关根、沈毛毛、金根生、沈寿根、李美林任新华大队副大队长。,
取消公社,取消公社,historic_admin,manual,medium,1,0,1959,1959,1959,1959,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,劳动力以及各种财产进行平调。1959年4月，境内根据中共中央《关于公社管理体制的若干规定草案》，取消公社军事建制，营、连分别改称生产大队和生产小队。此时，中共吴县县委做出的十项规定，实现“统一领导，分,1959年4月，境内根据中共中央《关于公社管理体制的若干规定草案》，取消公社军事建制，营、连分别改称生产大队和生产小队。,
苏州环卫站,苏州环卫站,transport,review,medium,1,0,1960,1960,1960,1960,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,派社员至外单位劳务作业，赚取一定报酬，充入集体经济。1960年，金星大队第1生产队派出2名社员至苏州环卫站务工，新华大队每个生产队派出2名社员至苏州铁路站铁路上劳务作业。至1969年12月，境域劳务从业,1960年，金星大队第1生产队派出2名社员至苏州环卫站务工，新华大队每个生产队派出2名社员至苏州铁路站铁路上劳务作业。,
苏州铁路站铁路,苏州铁路站铁路,railway,review,low,1,0,1960,1960,1960,1960,1,集体化与农业建设,context_sentence,,,,,missing,,,人工判断是否作为空间标注,济。1960年，金星大队第1生产队派出2名社员至苏州环卫站务工，新华大队每个生产队派出2名社员至苏州铁路站铁路上劳务作业。至1969年12月，境域劳务从业人员75人，其中金星大队30人，新华大队45人，劳务,1960年，金星大队第1生产队派出2名社员至苏州环卫站务工，新华大队每个生产队派出2名社员至苏州铁路站铁路上劳务作业。,
农村人民公社,农村人民公社,historic_admin,manual,medium,3,0,1961,1961,1962,1961;1962,2,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风,1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。 || 1961年6月，根据中共中央《关于农村人民公社当前政策问题的紧急指示信》的精神，境内纠正了“一平二调”（平均主义和劳动、物资统一调配）的“共产风”。 || 1962年10月，按照中共中央《关于改变农村人民公社基本核算单位问题的指示》，正式确定三级所有，队为基础，即以生产队为核算单位。,
新华两大队,新华两大队,historic_admin,manual,medium,5,0,1961,1961,1972,1961;1962;1966;1972,4,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,食、副食品供应紧张，上级政府动员种粮、种菜，开荒抗灾，生产自救。1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急,1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。 || 1962年3月，金星、新华两大队各建立医务室，实行统筹医疗，村民看病每人每次支付5分钱挂号费，看病取药不花钱，医疗药费由公社、大队负担。 || 1966年10月，金星、新华两大队办起合作医务室，配备4名赤脚医生，各生产队配1名卫生员，逐步做到患小病不用出村。,
纠正公社,纠正公社,historic_admin,manual,medium,1,0,1961,1961,1961,1961,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款,1961年1月25日，境内金星、新华两大队、各生产队干部参加吴县四级干部会议，历时25天，学习中共中央《关于农村人民公社当前政策问题的紧急指示信》（中央12条），纠正公社化以来出现的“五风”（共产风、浮夸风、瞎指挥风、干部特殊风、强迫命令风）错一，退赔“一平二调”款，组织开展整风整社工作。,
安济桥,安济桥,bridge,review,medium,3,0,1962,1956,1993,1956;1962;1993,3,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，我国发行了第一套《中国古代建筑：桥》邮票，编号“特50”，刘硕仁先生设计，全套4种。第一种赵县安济桥，即赵州桥，面值4分；第二种苏州宝带桥，面值8分；第三种四川灌县珠浦桥，为竹索桥，面值10分；第,1993年，又列为全国重点文物保护单位，与赵州安济桥、北京卢沟桥等合称为中国十大名桥。 || 1956年列为江苏省重点文物保护单位，1993年列为全国重点文物保护单位，与赵州安济桥、北京卢沟桥等合称为中国十大名桥。 || 1962年，中国人民邮政出了编号50的一套4种特种邮票：宝带桥列入其中，其他三座桥分别是：安济桥（又名赵州桥）、珠浦桥、程阳桥。,
珠浦桥,珠浦桥,bridge,review,medium,2,0,1962,1962,1962,1962,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,设计，全套4种。第一种赵县安济桥，即赵州桥，面值4分；第二种苏州宝带桥，面值8分；第三种四川灌县珠浦桥，为竹索桥，面值10分；第四种广西三江程阳桥，面值20分。苏州宝带桥位于苏州城东南3000米处，,1962年，中国人民邮政出了编号50的一套4种特种邮票：宝带桥列入其中，其他三座桥分别是：安济桥（又名赵州桥）、珠浦桥、程阳桥。,
程阳桥,程阳桥,bridge,review,medium,2,0,1962,1962,1962,1962,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,面值4分；第二种苏州宝带桥，面值8分；第三种四川灌县珠浦桥，为竹索桥，面值10分；第四种广西三江程阳桥，面值20分。苏州宝带桥位于苏州城东南3000米处，是全国十大名桥之一，属省级文物保护单位。唐元,1962年，中国人民邮政出了编号50的一套4种特种邮票：宝带桥列入其中，其他三座桥分别是：安济桥（又名赵州桥）、珠浦桥、程阳桥。,
粮饲加工厂,粮饲加工厂,industry,review,medium,5,0,1962,1962,1984,1962;1965;1984,3,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,环境、卫生、安全等长效管理。宝带桥社区历史上只有私人作坊和家庭手工业，20世纪60年代，集体始有粮饲加工厂。十一届三中全会以后，逐步发展集体经济，创办民营企业。1992年8月，境域制订了建设规划蓝图，全,1962年2月，新华大队开办粮饲加工厂。 || 1965年2月，金星大队开办粮饲加工厂，服务对象为本大队和附近村民的大米和饲料加工。 || 1984年1月，宝南村的小村、粮饲加工厂旁的2台50千伏安变压器因用电超负荷，先后烧坏。,
实行农村,实行农村,historic_settlement,manual,medium,1,0,1962,1962,1962,1962,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，或操舟进城医治。中华人民共和国成立后，居民医疗服务得到改善，教育事业逐渐发展。1962年，境内实行农村统筹医疗，以后又成立社队联办的合作医疗管理机构，为社员群众服务。1990年9月，境域在教育事业上,1962年，境内实行农村统筹医疗，以后又成立社队联办的合作医疗管理机构，为社员群众服务。,
改变农村人民公社,改变农村人民公社,historic_admin,manual,medium,1,0,1962,1962,1962,1962,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,农民，种植蔬菜、瓜果等农副产品。并明确土地归生产队集体所有。1962年10月，按照中共中央《关于改变农村人民公社基本核算单位问题的指示》，正式确定三级所有，队为基础，即以生产队为核算单位。境内金星、新华2个大,1962年10月，按照中共中央《关于改变农村人民公社基本核算单位问题的指示》，正式确定三级所有，队为基础，即以生产队为核算单位。,
长桥大队,长桥大队,historic_admin,manual,medium,4,1,1962,1962,1963,1962;1963,2,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,学种田，农业发展迅速。1962年，江苏农科院副院长、全国著名劳动模范陈永康率领10多名科技人员至长桥大队政点，做水稻高产示范试验，其间多次至境域指导推广水稻高产栽培技术，以2后又全面推广双季稻的,1962年，江苏农科院副院长、全国著名劳动模范陈永康率领10多名科技人员至长桥大队政点，做水稻高产示范试验，其间多次至境域指导推广水稻高产栽培技术，以2后又全面推广双季稻的种植，使境域成为江南闻名的水稻、三麦高产稳产地区之一。 || 1963年，下田小学开办成完小（1—6年级），其中：4—6年级的学生吸收附近长桥大队、新建大队和新联大队下238塔里、塘湾里的学生。,
苏州第一辆公交10路,苏州第一辆公交10路,road,review,medium,1,0,1963,1963,1963,1963,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,一段全长29.98千米沙土公路建成通车（1976年1月改沙土路面为沥青路面）。1963年12月，苏州第一辆公交10路车通达境内。1965年12月，苏州公交10路改为公交13路。1970年12月，苏州13路公交车穿,1963年12月，苏州第一辆公交10路车通达境内。,
大队和新联大队,大队和新联大队,historic_admin,manual,medium,1,0,1963,1963,1963,1963,1,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,老宅。1963年，下田小学开办成完小（1—6年级），其中：4—6年级的学生吸收附近长桥大队、新建大队和新联大队下238塔里、塘湾里的学生。历任教师有施桂元、王祖享、潘□□、唐□□、方□□、丁□□、田□,1963年，下田小学开办成完小（1—6年级），其中：4—6年级的学生吸收附近长桥大队、新建大队和新联大队下238塔里、塘湾里的学生。,
职时间生产队（村,职时间生产队（村,historic_settlement,manual,medium,1,0,1963,1963,2001,1963;1976;1978;1984;1985;1992;2001,7,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,此事被广为宣传。230表7-3宝带桥社区境域赤脚医生、卫生员一览表行政村名赤脚医生姓名任职时间生产队（村民小组）卫生员队（组）卫生员姓名宝尹（金星）汪毛根1963—1976.111吴文元钱林元钱林元1,230表7-3宝带桥社区境域赤脚医生、卫生员一览表行政村名赤脚医生姓名任职时间生产队（村民小组）卫生员队（组）卫生员姓名宝尹（金星）汪毛根1963—1976.111吴文元钱林元钱林元1967.3—1969.122潘福龙3付官泉吴文元1971.11—1974.104江根土5吴雪根潘福龙1971.11—1999.36朱老金7陈福弟陈福娣1977.3—1999.48钱水大9潘土云9姚文香宝南（新华）顾云男1963—19781何连根2陆根姐何连根1963—19843姚兴根4沈云男金福珠1978—19925沈大男6沈文男夏春芳1985—19927朱阿夯8倪海元何连根1992—20019倪官泉10夏金木水11李龙,
下田土地庙,下田土地庙,religious_site,review,medium,1,1,1964,1964,1964,1964,1,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,各生产小队都建起了麦谷的脱粒场地，与此同时各生产小队都逐步建起了养猪场。其中新华（宝南）大队还在下田土地庙上建立了大队养猪场的指导站，不但站里养猪还放猪到农户代养。1972年起还在澹台湖南岸上建起了苗猪,1964年9月，下田小学搬至下田土地庙，开设三个班级：其中一年级一个班；,
土地庙,土地庙,religious_site,review,medium,3,0,1964,1964,1968,1964;1968,2,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,展面上社会主义教育运动，开展“四清”（清政治、清经济、清思想、清组织）工作。是年，下田小学搬迁至土地庙。是年，遵照上级要求，对金星、新华两大队14人（其中富农分子1人、坏分子13人）实行监督改造。1,1964年9月，下田小学搬至下田土地庙，开设三个班级：其中一年级一个班； || 1968年9月，下田小学搬进下田坟堂上新建校舍，更名为新华小学（1968年2月—6月，因土地庙拆除，学校尚在建造过程中，曾在下田村沈关金家、塘港上徐毛妹家过渡）。,
