rank,curated_rank,gazetteer_name,gaode_map_item,place_type,mention_level,canonical_mention_count,raw_surface_count,top_themes,reason,has_coord,coordinate_quality,lon,lat,coord_source,coord_status,coord_crs,match_status,visual_priority,primary_year,time_type,year_list,year_count,rank_label,context_examples,first_context,notes
123,79,龙南社区,龙南社区,admin_context,低频,4,3,交通水系:17；基层治理:15；遗产文化:4,该地名属于行政背景，在志书中约出现4次，主要关联交通水系、基层治理；未提取到明确时间锚点。,1,可用坐标_需复核,120.6268814,31.2572760,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,context,low,,无明确时间,,0,79. 龙南社区（4次）,带桥社区坐落在长江三角洲腹地、上海经济区大都市圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候， || 宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴中区城南街道红庄社区，西连吴中区城南街道新江、龙南社区，北靠苏南运河市河段，总面积3.2平方千米，共有大小内河39条，总长16555米。商末境域属勾吴国，周时先后成为吴、越、楚三诸侯 || 角洲腹地、上海经济区大都市圈内，东依古老的京杭大运河苏嘉段，与郭巷街道相望；南接吴中区城南街道红庄社区；西连吴中区城南街道新江、龙南社区；北靠苏南运河市河段，总面积为3.2平方千米，共有大小内河39条，总长16555米。与卢沟桥、赵州桥、灞桥并称中国四大名桥的53,海经济区大都市圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，,
124,80,东湖,东湖,water,低频,3,4,基层治理:15；交通水系:13；开发建设:4,该地名属于湖泊水面，在志书中约出现3次，主要关联基层治理、交通水系；未提取到明确时间锚点。,0,缺坐标,,,,missing,,review,medium,,无明确时间,,0,80. 东湖（3次）,日起，境内地下水开采须报请吴中区水利局核准。是月20日，苏州市人民政府同意设立并批复成立吴中区城南街道办事处，下辖宝带桥、红庄、东湖、南石湖、龙南、新江、碧波、白云街、南港、吴中商城、盛丰苑、商贸城、桂苑等13个社区（村）居委会，面积为14.62平方千米，人口 || 苏州吴中区委员会授予宝带桥社区“‘实践三个代表，实现两个率先’先锋社区”称号。12月，宝带桥社区投资180万元建起5000平方米东湖社区职工集体宿舍楼。是年，原宝南村居民家家通上有线电视。2007年1月，苏州市关心下一代工作委员会授予宝带桥社区“四有五无”先进 || 元建设的宝带桥商业大厦竣工（占地面积3335.3平方米，建筑面积15153.48平方米）。是月，宝带桥社区投资1229万元建设的东湖“宝信工业坊”竣工（系7049平方米标准厂房一幢）。2015年1月，1100米的金家村河清淤污泥9000立方米。2月，上旬气温骤,水利局核准。是月20日，苏州市人民政府同意设立并批复成立吴中区城南街道办事处，下辖宝带桥、红庄、东湖、南石湖、龙南、新江、碧波、白云街、南港、吴中商城、盛丰苑、商贸城、桂苑等13个社区（村）居委会,
126,81,兴隆河,兴隆河,waterway,低频,3,2,交通水系:18；基层治理:6；开发建设:4,该地名属于运河河道，在志书中约出现3次，主要关联交通水系、基层治理；主要时间锚点为2017年。,0,缺坐标,,,,missing,,review,medium,2017,运河文旅更新,1968;2017,2,81. 兴隆河（3次）,路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施 || 7年宝带桥社区境域开拓、疏通河道统计表开拓时间河道名称长度/米备注1968.1钱家村河5001968.1黄家浜2501968.1兴隆河4001972.1金家村河20001974.8内河2条12501974.8内河2条12501976.1跃进河12001989.9,桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房,
130,82,吴中高新区,吴中高新区,admin_context,低频,3,3,基层治理:10；交通水系:6；遗产文化:1,该地名属于行政背景，在志书中约出现3次，主要关联基层治理、交通水系；未提取到明确时间锚点。,0,缺坐标,,,,missing,,context,low,,无明确时间,,0,82. 吴中高新区（3次）,……………………………328宝带桥社区志1概述宝带桥社区坐落在长江三角洲腹地、上海经济区大都市圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥 || 正科级退休马卫东男1958.12北京军区空军后勤部高级工程师5级、文职2级吴林泉男1963.8城南街道副科级许宏男男1969.5吴中高新区建设局副科级沈永元男1970.7苏州市公安局交警支队正科级279姓名性别出生年月工作单位职务、职称备注朱春华男1970.10吴中 || 名性别出生年月工作单位职务、职称备注朱春华男1970.10吴中区纪委副科级褚会男男1971.4郭巷街道正科级钱元男1971.10吴中高新区综合治理办公室副科级张金华男1973.5吴中区文体旅游局副科级沈稼兴男1975.6郭巷街道副科级江林弟男1977.4越溪街道副科,1概述宝带桥社区坐落在长江三角洲腹地、上海经济区大都市圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通,
133,83,大运河国家文化公园,大运河国家文化公园,scenic_area,低频,3,2,交通水系:19；遗产文化:13；基层治理:4,该地名属于景区，在志书中约出现3次，主要关联交通水系、遗产文化；主要时间锚点为2020年。,1,推导坐标_需复核,120.6518419,31.2561265,synthetic_centroid,derived_coord,GCJ-02,review,medium,2020,运河文旅更新,2005;2020,2,83. 大运河国家文化公园（3次）,12月12日，江苏省委常委、苏州市委书记许昆林一行调研宝带桥·澹台湖景区、吴中博物馆等设施的情况。是月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴中区城南街道红庄社区，西连吴中区城南街道新 || 录自2005年6月古吴轩出版社《苏州邮缘》，作者：周治华80第三节宝带桥·澹台湖景区一、概貌宝带桥·澹台湖景区（2020年更名为大运河国家文化公园——宝带桥·澹台湖核心展示园）位于苏州吴中区核心地带，东至吴东路，北至京杭大运河，西至下田港，南抵石湖东路，规划总面积为105万,市委书记许昆林一行调研宝带桥·澹台湖景区、吴中博物馆等设施的情况。是月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴,
134,84,太太庙,太太庙,religious_site,低频,3,4,交通水系:6；基层治理:1；教育民生:1,该地名属于宗教遗址，在志书中约出现3次，主要关联交通水系、基层治理；未提取到明确时间锚点。,0,缺坐标,,,,missing,,review,medium,,无明确时间,,0,84. 太太庙（3次）,可能就是给往来的旅客和纤夫休息的场所，现在里面竖立着一块《重修宝带桥记碑》。宝带桥的北面是一块空地，村民在那里造了一座澹台子祠暨太太庙，供奉澹台灭明、太太等。澹台灭明就是孔子的学生，宝带桥就建在澹台湖上，供奉澹台灭明顺理成章。录自2017年1月苏州大学出版社《足 || 时“官上加官”。荔枝、桂圆、核桃组合在一起，叫“连中三元”。松与鹤组合在一起，叫“松鹤延寿”。第二节民间信仰境域寺庙有澹台子祠、太太庙、土地庙、兴福庵、宝庆寺。居民信仰佛教、道教，以女性和年长者居多。民间信仰主要表现在庙会、抬猛将。庙会境内庙会门类、范围及规模大 || 范围及规模大小不一，形式各异。有坐堂庙会和出堂庙会，会期1天。庙会期间，附近农家盛情招待前来参加庙会的亲朋好友。其时，澹台子祠、太太庙、土地庙、兴福庵、宝庆寺不但有境内及邻乡的善男信女，还有民间艺人、小商贩云集至此。庙内神像之前，摆设各色祭品，烛炬灿灿，香烟袅袅,场所，现在里面竖立着一块《重修宝带桥记碑》。宝带桥的北面是一块空地，村民在那里造了一座澹台子祠暨太太庙，供奉澹台灭明、太太等。澹台灭明就是孔子的学生，宝带桥就建在澹台湖上，供奉澹台灭明顺理成章。录自,
135,85,威尼斯花园,威尼斯花园,residential,低频,3,2,交通水系:16；遗产文化:7；开发建设:5,该地名属于居住小区，在志书中约出现3次，主要关联交通水系、遗产文化；未提取到明确时间锚点。,0,缺坐标,,,,missing,,review,medium,,无明确时间,,0,85. 威尼斯花园（3次）,河的澹台湖大桥，澹台湖公园的新址就在澹台湖大桥南端的东侧。新建的澹台湖公园，北临京杭大运河，东北部是澹台湖与运河的交汇处，东南是威尼斯花园别墅，西靠澹台湖大桥南端，正南面向白云街，大门就设在此处，与威尼斯花园大门相邻。公园大约有百八十亩，面积不大，但设计合理，非常人 || 公园，北临京杭大运河，东北部是澹台湖与运河的交汇处，东南是威尼斯花园别墅，西靠澹台湖大桥南端，正南面向白云街，大门就设在此处，与威尼斯花园大门相邻。公园大约有百八十亩，面积不大，但设计合理，非常人性化。设有环路、休闲亭台、儿童游乐场、绿篱、花园、小树林等。花草树木种,就在澹台湖大桥南端的东侧。新建的澹台湖公园，北临京杭大运河，东北部是澹台湖与运河的交汇处，东南是威尼斯花园别墅，西靠澹台湖大桥南端，正南面向白云街，大门就设在此处，与威尼斯花园大门相邻。公园大约有百八十,
138,86,宝南纸箱厂,宝南纸箱厂,industry,低频,3,3,农业工业:11；基层治理:10；交通水系:7,该地名属于产业设施，在志书中约出现3次，主要关联农业工业、基层治理；主要时间锚点为2000年。,0,缺坐标,,,,missing,,review,medium,2000,开发区建设,2000,1,86. 宝南纸箱厂（3次）,》图录，入选苏州邮电局发行的《苏州》明信片图录，入选人民中国杂志社出版、苏州外文书店发行的《苏州》明信片图录。是年，宝尹酱品厂、宝南纸箱厂建成投产。是年，宝南村首建村部办公楼，建筑面积为360平方米，占地面积为1650平方米。1988年1月，宝带桥入选中国国际旅行社 || 境内组织基干民兵突击队，日夜守护围圩救险。2000年6月至8月，钱家村里浜17户居民、金家村16户居民搬迁至朱塔浜。8月14日，宝南纸箱厂转制给原承包人经营，性质由集体企业转为私营企业。7月至11月，牛桩浜27户居民、泥河田23户居民先后搬至朱塔浜、沉家浜、西下田居 || 原隶属关系、核算形式不变。1996年11月，开展村办集体企业宝南并线厂转制出让给原承包人经营，性质改为私营企业。2000年8月，宝南纸箱厂转制出让给原承包人经营，性质改为私营企业。至时，其他村办企业也先后转制或停办。2009年10月，宝带桥社区经济合作社成立，撤销原,州》明信片图录，入选人民中国杂志社出版、苏州外文书店发行的《苏州》明信片图录。是年，宝尹酱品厂、宝南纸箱厂建成投产。是年，宝南村首建村部办公楼，建筑面积为360平方米，占地面积为1650平方米。1988,
139,87,宝尹工业小区,宝尹工业小区,industry,低频,3,3,农业工业:10；开发建设:5；交通水系:3,该地名属于产业设施，在志书中约出现3次，主要关联农业工业、开发建设；主要时间锚点为2001年。,0,缺坐标,,,,missing,,review,medium,2001,开发区建设,2001;2005,2,87. 宝尹工业小区（3次）,公司）纷纷落户境内外，一时间宝带桥区域工业商贸用房短缺。境内宝尹、宝南两村抓住商机，在2001年12月后投资2758万元，建起了宝尹工业小区、宝信工业坊。境域在建设工业用房的同时，投资兴建商贸用房、职工宿舍，还与人合作投资建设工业、商贸用房。2004年4月，投资750 || 平方米、建筑面积15153.48平方米的宝带桥商业大厦，对外出租。2017年12月，宝带桥社区股份合作社经济年收入1406万元。宝尹工业小区位于境域东南，占地面积10520平方米。2001年12月，先后投资369万元、287万元建起建筑面积2618平方米、2986平方 || 鸿达科技有限公司租赁后，立马投资100万美元，招收54名职工，生产五金件、冲压钣金等产品。2005年12月，投资1091万元，在宝尹工业小区建起3280平方米、6850平方米的两幢标准厂房，对外招租。翌年5月，台资企业苏州诺斯达电子科技有限公司租赁后，立马投资200万,桥区域工业商贸用房短缺。境内宝尹、宝南两村抓住商机，在2001年12月后投资2758万元，建起了宝尹工业小区、宝信工业坊。境域在建设工业用房的同时，投资兴建商贸用房、职工宿舍，还与人合作投资建设工业、商贸,
140,88,宝尹新村,宝尹新村,residential,低频,3,2,开发建设:9；基层治理:8,该地名属于居住小区，在志书中约出现3次，主要关联开发建设、基层治理；主要时间锚点为2003年。,0,缺坐标,,,,missing,,review,medium,2003,开发区建设,2003,1,88. 宝尹新村（3次）,花园143号拆迁安置潘云昌自建住宅230宝尹花园144号老村改造董才林自建住宅230宝尹花园145号老村改造董夯男自建住宅230宝尹新村146号老村改造沈志明自建住宅230宝尹花园147号老村改造续表188房屋产权人房屋性质面积/平方米小区名称、门号拆迁项目备注计 || 2.122004.12上等兵李晓宝尹2组2005.122007.12话务员沈平钱家新村24号2006.122008.12战士乔龙宝尹新村154号2006.122011.12班长沈奕下田65号2007.112009.10战士陈杰宝南小村40号2007.122012.,宅230宝尹花园144号老村改造董才林自建住宅230宝尹花园145号老村改造董夯男自建住宅230宝尹新村146号老村改造沈志明自建住宅230宝尹花园147号老村改造续表188房屋产权人房屋性质面,
141,89,宝带桥·澹台湖核心展示园,宝带桥·澹台湖核心展示园,scenic_area,低频,3,3,交通水系:27；遗产文化:13；基层治理:5,该地名属于景区，在志书中约出现3次，主要关联交通水系、遗产文化；主要时间锚点为2020年。,1,推导坐标_需复核,120.6518419,31.2561265,synthetic_centroid,derived_coord,GCJ-02,review,medium,2020,运河文旅更新,2005;2020,2,89. 宝带桥·澹台湖核心展示园（3次）,常委、苏州市委书记许昆林一行调研宝带桥·澹台湖景区、吴中博物馆等设施的情况。是月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴中区城南街道红庄社区，西连吴中区城南街道新江、龙南社区，北靠苏南运河市 || 河市河段，总面积为3.2平方千米，共有大小内河39条，总长16555米。与卢沟桥、赵州桥、灞桥并称中国四大名桥的53拱宝带桥以及宝带桥·澹台湖核心展示园均在境域，地域条件优越，自然环境优美。一、地质地貌境域地质构造属扬子准地台、下扬子—钱塘褶皱带东部，断层错综叠加，地质块间接近很 || 轩出版社《苏州邮缘》，作者：周治华80第三节宝带桥·澹台湖景区一、概貌宝带桥·澹台湖景区（2020年更名为大运河国家文化公园——宝带桥·澹台湖核心展示园）位于苏州吴中区核心地带，东至吴东路，北至京杭大运河，西至下田港，南抵石湖东路，规划总面积为105万平方米（含水面），已建成的一,宝带桥·澹台湖景区、吴中博物馆等设施的情况。是月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴中区城南街道红庄社区，西连吴,
142,90,宝带桥商业大厦,宝带桥商业大厦,commercial,低频,3,2,交通水系:8；开发建设:7；基层治理:3,该地名属于commercial，在志书中约出现3次，主要关联交通水系、开发建设；主要时间锚点为2016年。,0,缺坐标,,,,missing,,review,medium,2016,运河文旅更新,2014,1,90. 宝带桥商业大厦（3次）,20日，宝带桥·澹台湖景区综合整治第一期建设项目正式启动，2016年9月2日竣工。12月18日，宝带桥社区投资4380万元建设的宝带桥商业大厦竣工（占地面积3335.3平方米，建筑面积15153.48平方米）。是月，宝带桥社区投资1229万元建设的东湖“宝信工业坊”竣工 || 000平方米的职工集体宿舍。2014年12月，投资4380万元，建起占地面积3335.3平方米、建筑面积15153.48平方米的宝带桥商业大厦，对外出租。2017年12月，宝带桥社区股份合作社经济年收入1406万元。宝尹工业小区位于境域东南，占地面积10520平方米。2,治第一期建设项目正式启动，2016年9月2日竣工。12月18日，宝带桥社区投资4380万元建设的宝带桥商业大厦竣工（占地面积3335.3平方米，建筑面积15153.48平方米）。是月，宝带桥社区投资1229,
143,91,宝庆寺,宝庆寺,religious_site,低频,3,7,教育民生:12；基层治理:7；农业工业:4,该地名属于宗教遗址，在志书中约出现3次，主要关联教育民生、基层治理；主要时间锚点为1946年。,0,缺坐标,,,,missing,,review,medium,1946,民国时期,1946;1990;2006;2017,4,91. 宝庆寺（3次）,，途经境域一段，全长29.98千米沙土公路通车。1978年改沙土路面为沥青路面。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属吴县车坊区尹山乡。1949年4月27日 || 星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境内第一辆品牌为凤凰的 || 筑庐修学，学生三百余众。1942年，境内王家浜钱祥根、下田村坟堂上沈永泉家中办起私塾，每家学生12人左右。1946年，境内泥河田宝庆寺庙上西房创办公立泥和田小学，学生40人左右。1949年后，泥河田小学延续开办。1950年1月，下田中段里徐毛妹家办起下田小学，招,米沙土公路通车。1978年改沙土路面为沥青路面。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属,
153,92,新华小学,新华小学,education,低频,3,4,教育民生:14；基层治理:9；交通水系:8,该地名属于教育设施，在志书中约出现3次，主要关联教育民生、基层治理；主要时间锚点为1968年。,0,缺坐标,,,,missing,,review,medium,1968,集体化与农业建设,1968;1974,2,92. 新华小学（3次）,。9月23日，金星大队钱水大、新华大队陈阿夯当选为吴县第二次活学活用毛泽东思想积极分子代表。是月，下田小学搬迁至坟堂上，并更名为新华小学。10月11日，金星大队在尤字港建造混凝土拱桥时因倒塌造成5人死亡。翌年重建拱桥，取名为“胜利桥”。是月，金星大队社员吴云先为境 || 根据上级指示，开展“批林批孔”运动。4月22日8时29分，溧阳上沛发生5.5级地震，境内有震感。9月，钱家小学并入下田村坟堂上的新华小学。1975年2月，金星、新华大队积极响应毛主席号召，广泛开展农业学大寨运动。8月，境内响应公社号召，组织农民开展农业水利大生产运 || 复式班一个；四、五、六年级复式班一个。历任教师有解曙、潘家珍、杨康勇等人。1968年9月，下田小学搬进下田坟堂上新建校舍，更名为新华小学（1968年2月—6月，因土地庙拆除，学校尚在建造过程中，曾在下田村沈关金家、塘港上徐毛妹家过渡）。1980年11月，下田小学更,华大队陈阿夯当选为吴县第二次活学活用毛泽东思想积极分子代表。是月，下田小学搬迁至坟堂上，并更名为新华小学。10月11日，金星大队在尤字港建造混凝土拱桥时因倒塌造成5人死亡。翌年重建拱桥，取名为“胜利桥,
157,93,泥河田小学,泥河田小学,education,低频,3,4,教育民生:16；基层治理:5；农业工业:1,该地名属于教育设施，在志书中约出现3次，主要关联教育民生、基层治理；主要时间锚点为1946年。,0,缺坐标,,,,missing,,review,medium,1946,民国时期,1946;1949;2006;2017,4,93. 泥河田小学（3次）,改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境内第一辆品牌为凤凰的自行车。10 || 上沈永泉家中办起私塾，每家学生12人左右。1946年，境内泥河田宝庆寺庙上西房创办公立泥和田小学，学生40人左右。1949年后，泥河田小学延续开办。1950年1月，下田中段里徐毛妹家办起下田小学，招收学生30余人。1990年9月，境域宝南建起十楼十底校舍，境内部分小 || 计表时间姓名时间姓名2006.6何雪英2010.8王美娟三、小学教育（尖）宝尹小室1946年，境内泥河田的宝庆寺西厢房创办了公立泥河田小学，就读学生40人左右，学生来自附近村庄的求学儿童。1949年后，泥河田小学延续开办。1958年，搬进姚家场建造的小学，改称金星小,队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境,
158,94,澄湖东路,澄湖东路,road,低频,3,5,交通水系:45；开发建设:8；教育民生:2,该地名属于道路，在志书中约出现3次，主要关联交通水系、开发建设；主要时间锚点为1992年。,1,已匹配坐标,120.6540795,31.2413217,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,medium,1992,开发区建设,1949;1992;2017,3,94. 澄湖东路（3次）,经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了 || 路（后更名东吴南路）。1992年10月，境域公路交通建设发展迅速，至2017年12月，先后建起东西向东吴南路、天灵路、石湖东路、澄湖东路、澄湖中路等5条公路；南北向迎春南路、宝通路、宝丰路等3条公路，途经境内公路全长12887米，其中东西向8495米，南北向439 || —古塘河16941993.12东西宝通路天灵路—东吴南路9861998.12南北宝丰路澄湖中路—东吴南路6501998.12南北澄湖东路古运河—迎春南路11382000.10东西澄湖中路迎春南路—古塘河5702000.10东西石湖东路古运河—古塘河16361995,公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、,
159,95,澹台子祠,澹台子祠,religious_site,低频,3,32,交通水系:27；遗产文化:9；基层治理:1,该地名属于宗教遗址，在志书中约出现3次，主要关联交通水系、遗产文化；主要时间锚点为1751年。,0,缺坐标,,,,missing,,review,medium,1751,古代-清末,1751;2001,2,95. 澹台子祠（3次）,上，整个湖面一览无余。2016年9月，澹台湖畔新建市民公园，与千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子羽，南游至江，在苏城东南的澹台湖 || 千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子羽，南游至江，在苏城东南的澹台湖即其故趾（址）。《吴地记》以为子羽宅所陷成湖。北宋元丰年间，澹 || 趾（址）。《吴地记》以为子羽宅所陷成湖。北宋元丰年间，澹台湖畔时属长洲县尹山乡都管辖，为纪念这位先贤，人们在尹山乡都尹山之巅建造澹台子祠，以祀先贤澹台灭明。因南宋名儒尹和靖读书其中，明代乡贤练埙于祠中设义塾，为此又称为澹台书院。以后清同治《苏州府志》中有关澹台子祠,9月，澹台湖畔新建市民公园，与千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子,
160,96,牛桩浜东港,牛桩浜东港,waterway,低频,3,2,交通水系:27；开发建设:6；基层治理:5,该地名属于运河河道，在志书中约出现3次，主要关联交通水系、开发建设；主要时间锚点为2017年。,0,缺坐标,,,,missing,,review,medium,2017,运河文旅更新,1968;2017,2,96. 牛桩浜东港（3次）,里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫生、安全等长效管理。宝带桥社区历史上 || 河2条12501974.8内河2条12501976.1跃进河12001989.9澹台湖北运河1000为保护宝带桥开拓1996.3牛桩浜东港5002002.1金家河300与宝尹村牛桩浜衔接桥梁境域为水乡，旧时跨越河湖的桥梁除宝带桥之外，多为小桥，且是简陋木桥、竹桥。新,家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫生、,
163,97,石湖东路桥,石湖东路桥,bridge,低频,3,3,交通水系:30；开发建设:3；遗产文化:2,该地名属于桥梁，在志书中约出现3次，主要关联交通水系、开发建设；主要时间锚点为1992年。,1,可用坐标_需复核,120.6480306,31.2499288,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,medium,1992,开发区建设,1992;2017,2,97. 石湖东路桥（3次）,丰富的中餐送至其家中。4月，宝带桥社区对辖区内群众开展“扫黑除恶”、消除隐患、提升群众安全感宣传教育活动。5月1日，境域东西向的石湖东路桥建成通车。6月4日，中共江苏省宣传部、省交通运输厅、省文物局在镇江召开的“寻找大运河江苏记忆”活动成果发布会上，授予宝带桥“江苏 || 跃进2号桥、钱家石拱桥、金家石拱桥等12座。1992年8月始，境域桥梁建设速度、质量有了提高，新建公路桥梁有古塘河桥、下塔里桥、石湖东路桥、天灵路西1号桥、澄湖东路3号桥、天灵路东2号桥、宝通路北4号桥、宝通路南5号桥、迎春南路钱家桥、迎春南路7号桥、迎春南路8号桥 || 梁名称建成时间结构跨径/米宽度/米古塘河桥1992.12简支空心板梁3040.5下塔星桥1992.12简支空心板梁12.2520石湖东路桥1995.10简支空心板梁19.546.2天灵路西1号桥1995.10简支空心板梁16.839澄湖东路3号桥1995.10简支空,桥社区对辖区内群众开展“扫黑除恶”、消除隐患、提升群众安全感宣传教育活动。5月1日，境域东西向的石湖东路桥建成通车。6月4日，中共江苏省宣传部、省交通运输厅、省文物局在镇江召开的“寻找大运河江苏记忆”活,
165,98,碧波卫生院,碧波卫生院,medical,低频,3,4,教育民生:25；基层治理:13；交通水系:3,该地名属于医疗设施，在志书中约出现3次，主要关联教育民生、基层治理；主要时间锚点为1999年。,0,缺坐标,,,,missing,,review,medium,1999,开发区建设,1999;2000;2001,3,98. 碧波卫生院（3次）,行大病风险医疗制度。1995年6月，新建碧波实验小学（含幼儿园），建筑面积35137平方米。1999年4月，宝尹村合作医疗室并入碧波卫生院，翌年1月，卫生院在境内设立社区服务中心，对育龄妇女保健、老年健康体检等提供专项服务。2002年9月，境域新建碧波中学，对外招生 || 院医疗，其费用向乡镇医疗管理委员会报销20%，其余向所在村集体报销40%—23160%。1999年4月，境内宝尹村合作卫生室并入碧波卫生院。2000年1月，碧波卫生院在境内设立社区服务中心。2001年5月，境内宝南村合作卫生室并入碧波卫生院。二、血吸虫病防治境域地处 || 委员会报销20%，其余向所在村集体报销40%—23160%。1999年4月，境内宝尹村合作卫生室并入碧波卫生院。2000年1月，碧波卫生院在境内设立社区服务中心。2001年5月，境内宝南村合作卫生室并入碧波卫生院。二、血吸虫病防治境域地处江南水网地带，西为古运河，北,月，新建碧波实验小学（含幼儿园），建筑面积35137平方米。1999年4月，宝尹村合作医疗室并入碧波卫生院，翌年1月，卫生院在境内设立社区服务中心，对育龄妇女保健、老年健康体检等提供专项服务。2002年,
